Game{name= Shin Megami Tensei IV, platform= 3DS, developer= Atlus, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Jul 16, 2013, positiveCritics= 45, neutralCritics= 3, negativeCritics= 0, positiveUsers= 38, neutralUsers= 6, negativeUsers= 3, metaScore= 83, userScore= 62}

Game{name= Mario & Luigi: Dream Team, platform= 3DS, developer= Alphadream Corporation, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= E10+, releaseDate= Aug 11, 2013, positiveCritics= 60, neutralCritics= 15, negativeCritics= 0, positiveUsers= 57, neutralUsers= 16, negativeUsers= 4, metaScore= 81, userScore= 81}

Game{name= Final Fantasy XIV Online: A Realm Reborn, platform= PC, developer= Square Enix, genre= Role-Playing, numberPlayers= Massively Multiplayer, rating= T, releaseDate= Aug 27, 2013, positiveCritics= 29, neutralCritics= 3, negativeCritics= 0, positiveUsers= 277, neutralUsers= 48, negativeUsers= 98, metaScore= 83, userScore= 71}

Game{name= Etrian Odyssey Untold: The Millennium Girl, platform= 3DS, developer= Atlus, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Oct  1, 2013, positiveCritics= 36, neutralCritics= 5, negativeCritics= 0, positiveUsers= 10, neutralUsers= 1, negativeUsers= 1, metaScore= 80, userScore= 81}

Game{name= Pokemon Y, platform= 3DS, developer= Game Freak, genre= Role-Playing, numberPlayers= Up to 4 , rating= E, releaseDate= Oct 12, 2013, positiveCritics= 65, neutralCritics= 4, negativeCritics= 0, positiveUsers= 120, neutralUsers= 34, negativeUsers= 6, metaScore= 88, userScore= 87}

Game{name= Pokemon X, platform= 3DS, developer= Game Freak, genre= Role-Playing, numberPlayers= Up to 4 , rating= E, releaseDate= Oct 12, 2013, positiveCritics= 67, neutralCritics= 4, negativeCritics= 0, positiveUsers= 157, neutralUsers= 33, negativeUsers= 10, metaScore= 87, userScore= 86}

Game{name= Ys: Memories of Celceta, platform= VITA, developer= Falcom, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Nov 26, 2013, positiveCritics= 53, neutralCritics= 3, negativeCritics= 0, positiveUsers= 45, neutralUsers= 5, negativeUsers= 1, metaScore= 82, userScore= 87}

Game{name= The Banner Saga, platform= PC, developer= Stoic, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Jan 14, 2014, positiveCritics= 59, neutralCritics= 15, negativeCritics= 0, positiveUsers= 89, neutralUsers= 42, negativeUsers= 28, metaScore= 80, userScore= 80}

Game{name= South Park: The Stick of Truth, platform= PC, developer= Obsidian Entertainment, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Mar  4, 2014, positiveCritics= 43, neutralCritics= 5, negativeCritics= 0, positiveUsers= 249, neutralUsers= 41, negativeUsers= 15, metaScore= 85, userScore= 86}

Game{name= SMITE, platform= PC, developer= Hi-Rez Studios, genre= Role-Playing, numberPlayers= , rating= T, releaseDate= Mar 25, 2014, positiveCritics= 17, neutralCritics= 1, negativeCritics= 0, positiveUsers= 178, neutralUsers= 20, negativeUsers= 44, metaScore= 83, userScore= 82}

Game{name= Soul Sacrifice Delta, platform= VITA, developer= SCE Japan Studio, genre= Role-Playing, numberPlayers= Up to 4 , rating= M, releaseDate= May 13, 2014, positiveCritics= 23, neutralCritics= 1, negativeCritics= 0, positiveUsers= 22, neutralUsers= 2, negativeUsers= 0, metaScore= 82, userScore= 85}

Game{name= Transistor, platform= PS4, developer= Supergiant Games, genre= Role-Playing, numberPlayers= , rating= T, releaseDate= May 20, 2014, positiveCritics= 51, neutralCritics= 6, negativeCritics= 0, positiveUsers= 79, neutralUsers= 11, negativeUsers= 7, metaScore= 83, userScore= 82}

Game{name= Transistor, platform= PC, developer= Supergiant Games, genre= Role-Playing, numberPlayers= No Online Multiplayer, rating= T, releaseDate= May 20, 2014, positiveCritics= 29, neutralCritics= 5, negativeCritics= 1, positiveUsers= 93, neutralUsers= 19, negativeUsers= 8, metaScore= 83, userScore= 83}

