Game{name= Bulletstorm, platform= PC, developer= Epic Games, People Can Fly, genre= General, numberPlayers= , rating= M, releaseDate= Feb 21, 2011, positiveCritics= 30, neutralCritics= 4, negativeCritics= 0, positiveUsers= 110, neutralUsers= 39, negativeUsers= 34, metaScore= 82, userScore= 77}

Game{name= Valkyria Chronicles, platform= PC, developer= Sega, genre= General, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Nov 11, 2014, positiveCritics= 23, neutralCritics= 1, negativeCritics= 0, positiveUsers= 46, neutralUsers= 10, negativeUsers= 4, metaScore= 85, userScore= 82}

Game{name= Dragon Age: Inquisition, platform= PS4, developer= BioWare, genre= General, numberPlayers= Up to 4 , rating= M, releaseDate= Nov 18, 2014, positiveCritics= 42, neutralCritics= 1, negativeCritics= 0, positiveUsers= 300, neutralUsers= 89, negativeUsers= 53, metaScore= 89, userScore= 74}

Game{name= Dragon Age: Inquisition, platform= XONE, developer= BioWare, genre= General, numberPlayers= Up to 4 , rating= M, releaseDate= Nov 18, 2014, positiveCritics= 24, neutralCritics= 4, negativeCritics= 0, positiveUsers= 98, neutralUsers= 30, negativeUsers= 30, metaScore= 85, userScore= 70}

Game{name= Grim Fandango Remastered, platform= PS4, developer= Double Fine Productions, genre= General, numberPlayers= , rating= T, releaseDate= Jan 27, 2015, positiveCritics= 35, neutralCritics= 10, negativeCritics= 0, positiveUsers= 17, neutralUsers= 14, negativeUsers= 4, metaScore= 80, userScore= 77}

Game{name= Batman: Arkham Knight, platform= PS4, developer= Rocksteady Studios, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Jun 23, 2015, positiveCritics= 82, neutralCritics= 7, negativeCritics= 0, positiveUsers= 475, neutralUsers= 131, negativeUsers= 50, metaScore= 87, userScore= 78}

Game{name= Batman: Arkham Knight, platform= XONE, developer= Rocksteady Studios, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Jun 23, 2015, positiveCritics= 14, neutralCritics= 2, negativeCritics= 0, positiveUsers= 99, neutralUsers= 34, negativeUsers= 12, metaScore= 85, userScore= 68}

Game{name= Galak-Z: The Dimensional, platform= PS4, developer= 17-Bit, genre= General, numberPlayers= , rating= E10+, releaseDate= Aug  4, 2015, positiveCritics= 38, neutralCritics= 4, negativeCritics= 0, positiveUsers= 11, neutralUsers= 5, negativeUsers= 4, metaScore= 82, userScore= 71}

Game{name= Hacknet, platform= PC, developer= Orann, genre= General, numberPlayers= No Online Multiplayer, rating= , releaseDate= Aug 12, 2015, positiveCritics= 6, neutralCritics= 1, negativeCritics= 0, positiveUsers= 8, neutralUsers= 4, negativeUsers= 0, metaScore= 82, userScore= 78}

Game{name= World of Warships, platform= PC, developer= Wargaming.net, genre= General, numberPlayers= Online Multiplayer, rating= T, releaseDate= Sep 17, 2015, positiveCritics= 27, neutralCritics= 2, negativeCritics= 0, positiveUsers= 18, neutralUsers= 5, negativeUsers= 40, metaScore= 81, userScore= 60}

Game{name= Read Only Memories, platform= PC, developer= MidBoss, genre= General, numberPlayers= No Online Multiplayer, rating= , releaseDate= Oct  5, 2015, positiveCritics= 9, neutralCritics= 3, negativeCritics= 0, positiveUsers= 15, neutralUsers= 1, negativeUsers= 12, metaScore= 80, userScore= 43}

Game{name= Fallout 4, platform= PC, developer= Bethesda Game Studios, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Nov  9, 2015, positiveCritics= 30, neutralCritics= 8, negativeCritics= 0, positiveUsers= 655, neutralUsers= 431, negativeUsers= 1120, metaScore= 84, userScore= 55}

Game{name= Fallout 4, platform= XONE, developer= Bethesda Game Studios, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Nov 10, 2015, positiveCritics= 38, neutralCritics= 1, negativeCritics= 0, positiveUsers= 232, neutralUsers= 75, negativeUsers= 77, metaScore= 88, userScore= 64}

Game{name= Fallout 4, platform= PS4, developer= Bethesda Game Studios, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Nov 10, 2015, positiveCritics= 52, neutralCritics= 6, negativeCritics= 0, positiveUsers= 671, neutralUsers= 224, negativeUsers= 208, metaScore= 87, userScore= 66}

Game{name= Nuclear Throne, platform= PC, developer= Vlambeer, genre= General, numberPlayers= No Online Multiplayer, rating= , releaseDate= Dec  5, 2015, positiveCritics= 14, neutralCritics= 0, negativeCritics= 0, positiveUsers= 21, neutralUsers= 9, negativeUsers= 0, metaScore= 88, userScore= 76}

Game{name= Nuclear Throne, platform= PS4, developer= Vlambeer, genre= General, numberPlayers= , rating= E10+, releaseDate= Dec  5, 2015, positiveCritics= 14, neutralCritics= 0, negativeCritics= 0, positiveUsers= 5, neutralUsers= 2, negativeUsers= 4, metaScore= 82, userScore= 63}

Game{name= Firewatch, platform= PC, developer= Campo Santo, genre= General, numberPlayers= No Online Multiplayer, rating= , releaseDate= Feb  9, 2016, positiveCritics= 51, neutralCritics= 14, negativeCritics= 0, positiveUsers= 108, neutralUsers= 72, negativeUsers= 64, metaScore= 81, userScore= 69}

Game{name= Plants vs Zombies: Garden Warfare 2, platform= PS4, developer= PopCap, genre= General, numberPlayers= Up to 24 , rating= E10+, releaseDate= Feb 23, 2016, positiveCritics= 26, neutralCritics= 3, negativeCritics= 0, positiveUsers= 22, neutralUsers= 6, negativeUsers= 2, metaScore= 81, userScore= 77}

