Game{name= Football Manager 2015, platform= PC, developer= Sports Interactive, genre= Sports, numberPlayers= , rating= , releaseDate= Nov  7, 2014, positiveCritics= 28, neutralCritics= 8, negativeCritics= 0, positiveUsers= 8, neutralUsers= 11, negativeUsers= 19, metaScore= 80, userScore= 61}

Game{name= Pro Evolution Soccer 2015, platform= PC, developer= Konami, genre= Sports, numberPlayers= , rating= , releaseDate= Nov 13, 2014, positiveCritics= 6, neutralCritics= 2, negativeCritics= 0, positiveUsers= 13, neutralUsers= 12, negativeUsers= 25, metaScore= 82, userScore= 56}

Game{name= OlliOlli2: Welcome to Olliwood, platform= PS4, developer= roll7, genre= Sports, numberPlayers= , rating= T, releaseDate= Mar  3, 2015, positiveCritics= 32, neutralCritics= 2, negativeCritics= 0, positiveUsers= 21, neutralUsers= 8, negativeUsers= 11, metaScore= 86, userScore= 65}

Game{name= OlliOlli2: Welcome to Olliwood, platform= VITA, developer= roll7, genre= Sports, numberPlayers= , rating= T, releaseDate= Mar  3, 2015, positiveCritics= 12, neutralCritics= 0, negativeCritics= 0, positiveUsers= 4, neutralUsers= 1, negativeUsers= 0, metaScore= 85, userScore= 70}

Game{name= Rocket League, platform= PC, developer= Psyonix, genre= Sports, numberPlayers= , rating= E, releaseDate= Jul  5, 2015, positiveCritics= 17, neutralCritics= 3, negativeCritics= 0, positiveUsers= 120, neutralUsers= 16, negativeUsers= 15, metaScore= 86, userScore= 82}

Game{name= OlliOlli2: Welcome to Olliwood, platform= PC, developer= roll7, genre= Sports, numberPlayers= , rating= , releaseDate= Aug 11, 2015, positiveCritics= 15, neutralCritics= 0, negativeCritics= 1, positiveUsers= 2, neutralUsers= 0, negativeUsers= 0, metaScore= 82, userScore= 57}

Game{name= Super Mega Baseball: Extra Innings, platform= XONE, developer= Metalhead Software, genre= Sports, numberPlayers= , rating= E, releaseDate= Aug 14, 2015, positiveCritics= 11, neutralCritics= 0, negativeCritics= 0, positiveUsers= 0, neutralUsers= 1, negativeUsers= 1, metaScore= 80, userScore= 71}

Game{name= Madden NFL 16, platform= XONE, developer= EA Sports, genre= Sports, numberPlayers= , rating= E, releaseDate= Aug 25, 2015, positiveCritics= 22, neutralCritics= 1, negativeCritics= 0, positiveUsers= 22, neutralUsers= 2, negativeUsers= 16, metaScore= 84, userScore= 60}

Game{name= Madden NFL 16, platform= PS4, developer= EA Sports, genre= Sports, numberPlayers= 2, rating= E, releaseDate= Aug 25, 2015, positiveCritics= 35, neutralCritics= 2, negativeCritics= 0, positiveUsers= 33, neutralUsers= 16, negativeUsers= 24, metaScore= 83, userScore= 59}

Game{name= Pro Evolution Soccer 2016, platform= PS4, developer= Konami, genre= Sports, numberPlayers= Up to 22 , rating= E, releaseDate= Sep 15, 2015, positiveCritics= 53, neutralCritics= 1, negativeCritics= 0, positiveUsers= 110, neutralUsers= 23, negativeUsers= 30, metaScore= 87, userScore= 72}

Game{name= Pro Evolution Soccer 2016, platform= XONE, developer= Konami, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 15, 2015, positiveCritics= 13, neutralCritics= 1, negativeCritics= 0, positiveUsers= 8, neutralUsers= 3, negativeUsers= 2, metaScore= 85, userScore= 61}

Game{name= NHL 16, platform= XONE, developer= EA Sports, EA Canada, genre= Sports, numberPlayers= , rating= E10+, releaseDate= Sep 15, 2015, positiveCritics= 18, neutralCritics= 0, negativeCritics= 0, positiveUsers= 7, neutralUsers= 11, negativeUsers= 12, metaScore= 80, userScore= 60}

Game{name= FIFA 16, platform= XONE, developer= EA Sports, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 22, 2015, positiveCritics= 39, neutralCritics= 6, negativeCritics= 0, positiveUsers= 27, neutralUsers= 14, negativeUsers= 66, metaScore= 84, userScore= 44}

Game{name= FIFA 16, platform= PS4, developer= EA Sports, genre= Sports, numberPlayers= Up to 22 , rating= E, releaseDate= Sep 22, 2015, positiveCritics= 37, neutralCritics= 5, negativeCritics= 0, positiveUsers= 52, neutralUsers= 24, negativeUsers= 145, metaScore= 82, userScore= 44}

Game{name= FIFA 16, platform= PC, developer= EA Sports, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 22, 2015, positiveCritics= 8, neutralCritics= 2, negativeCritics= 0, positiveUsers= 9, neutralUsers= 5, negativeUsers= 45, metaScore= 81, userScore= 45}

Game{name= Football Manager 2016, platform= PC, developer= Sega, genre= Sports, numberPlayers= , rating= E, releaseDate= Nov 13, 2015, positiveCritics= 30, neutralCritics= 4, negativeCritics= 0, positiveUsers= 8, neutralUsers= 5, negativeUsers= 12, metaScore= 81, userScore= 69}

Game{name= Rocket League, platform= XONE, developer= Psyonix, Panic Button, genre= Sports, numberPlayers= , rating= E, releaseDate= Feb 17, 2016, positiveCritics= 22, neutralCritics= 0, negativeCritics= 0, positiveUsers= 42, neutralUsers= 4, negativeUsers= 5, metaScore= 87, userScore= 82}

Game{name= Out of the Park Baseball 17, platform= PC, developer= Out Of The Park Developments, genre= Sports, numberPlayers= , rating= , releaseDate= Mar 22, 2016, positiveCritics= 8, neutralCritics= 0, negativeCritics= 0, positiveUsers= 20, neutralUsers= 5, negativeUsers= 5, metaScore= 92, userScore= 34}

Game{name= MLB The Show 16, platform= PS4, developer= SCEA San Diego Studios, genre= Sports, numberPlayers= , rating= E, releaseDate= Mar 29, 2016, positiveCritics= 35, neutralCritics= 2, negativeCritics= 0, positiveUsers= 25, neutralUsers= 3, negativeUsers= 13, metaScore= 85, userScore= 72}

